Don't be afraid to take a big step.  You can't cross a chasm in two small jumps.,11-6-18-19-47-29
Keep in mind that home is where the heart is.,32-33-36-5-55-10
A kiss is not a kiss without the heart.,35-24-21-36-56-22
Enjoy yourself while you can.,12-34-5-47-8-19
Fear is just excitement in need of an attitude adjustment.,21-22-33-34-45-46
Everybody feels lucky for having you as a friend.,44-32-53-18-30-22
You will be selected for a promotion because of your accomplishments.,42-28-54-33-24-17
You are admired for your adventurous ways.,04-12-24-30-40-44
Never miss a chance to keep your mouth shut.,44-04-19-23-50-30
In human endeavor chance favors the prepared mind.,8-10-22-32-33-5
The great joy in life is doing what people say you cannot do.,27-30-36-5-35-2
